mz_rt,beta,control,FC_beta_div_ctrl,p,log2_FC_beta_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1271.7465_5.862,8798.30067261382,10413.932385929664,0.8448586323165747,0.0186,-0.24321813517074134,1.7304870557820837,1271.7465,5.862,9557.472,1271.7465_5.862,1271.7465_5.862,1
1450.1318_6.54,53906.77035071206,62260.84460945637,0.8658213792127795,0.0366,-0.20785867028598684,1.4365189146055892,1450.1318,6.54,59306.285,Cluster_1450.1318_6.54,1450.1318_6.54;1451.1351_6.539,2
1502.0921_6.54,5789.312860326605,6756.172534851101,0.8568923943938616,0.0169,-0.22281404786735062,1.7721132953863266,1502.0921,6.54,6162.782,1502.0921_6.54,1502.0921_6.54,1
1644.3337_9.984,4064.942650584296,5063.597414404786,0.8027776139983911,0.00619,-0.31692770816167376,2.208309350979882,1644.3337,9.984,4622.48,1644.3337_9.984,1644.3337_9.984,1
1646.3475_10.439,3300.609596296171,4007.9101127019053,0.8235238574427727,0.047,-0.28011764953098045,1.3279021420642825,1646.3475,10.439,3296.1206,1646.3475_10.439,1646.3475_10.439,1
445.3316_4.28,18427.57316127323,25464.2422261533,0.7236646980347607,0.0155,-0.46660669941943617,1.8096683018297086,445.3316,4.28,22923.176,445.3316_4.28,445.3316_4.28,1
557.4566_6.309,7068.1483027492895,9643.624457969267,0.7329348351913825,0.0431,-0.44824316000089076,1.3655227298392685,557.4566,6.309,9207.197,557.4566_6.309,557.4566_6.309,1
575.467_4.662,2268.9400896858597,2829.796297693792,0.8018033282236552,0.0306,-0.318679688870621,1.51427857351842,575.467,4.662,3037.523,575.467_4.662,575.467_4.662,1
767.5664_7.562,9557.634625116594,11166.300938927985,0.8559356117473733,0.02,-0.2244258217499807,1.6989700043360187,767.5664,7.562,10169.016,767.5664_7.562,767.5664_7.562,1
797.5117_5.847,15102.455469353223,17833.254377391262,0.8468704112974407,0.0165,-0.23978687064506177,1.7825160557860937,797.5117,5.847,15870.502,797.5117_5.847,797.5117_5.847,1
833.6297_9.665,13682.566202044745,15793.632121569175,0.8663343616417801,0.025,-0.20700415448170492,1.6020599913279623,833.6297,9.665,13634.47,833.6297_9.665,833.6297_9.665,1
843.6587_9.666,51855.26513175459,61650.153234352634,0.8411214313553377,0.0194,-0.24961399979611051,1.712198270069774,843.6587,9.666,54932.25,843.6587_9.666,843.6587_9.666,1
853.6428_8.12,13666.018151974104,16876.976117197395,0.8097432891457746,0.0286,-0.3044634883426401,1.5436339668709569,853.6428,8.12,13549.589,853.6428_8.12,853.6428_8.12,1
855.6591_9.033,174260.90552795999,203030.52768735497,0.8582990327262652,0.0418,-0.22044772237229743,1.3788237182249647,855.6591,9.033,176313.45,Cluster_855.6591_9.033,845.6298_9.037;855.6591_9.033,2
857.6746_10.294,148615.05468025815,172411.4494898729,0.8619790339909387,0.0405,-0.21427531597339997,1.3925449767853315,857.6746,10.294,153973.36,Cluster_857.6746_10.294,857.6746_10.294;925.6615_10.291,2
869.598_7.834,7391.865550364185,8828.998937906419,0.8372257831664192,0.0342,-0.25631135343998596,1.465973893943865,869.598,7.834,7589.619,869.598_7.834,869.598_7.834,1
895.6211_9.665,7010.148228660839,8352.846673150307,0.8392525929147621,0.0217,-0.25282300567589827,1.6635402661514704,895.6211,9.665,6702.7407,895.6211_9.665,895.6211_9.665,1
896.6737_10.623,5430.1021482790975,6529.906814808462,0.8315742172560201,0.0476,-0.26608306638505547,1.322393047279507,896.6737,10.623,5967.279,896.6737_10.623,896.6737_10.623,1
904.599_5.836,4311.599394580082,5121.67995580498,0.8418330375550425,0.0234,-0.24839396584328802,1.630784142589857,904.599,5.836,5130.77,904.599_5.836,904.599_5.836,1
907.6211_9.035,14816.101925873401,17137.824765097706,0.8645263987088581,0.0094,-0.2100180769945032,2.0268721464003012,907.6211,9.035,15338.556,907.6211_9.035,907.6211_9.035,1
911.6459_9.666,12615.604929487294,15127.17117844115,0.8339698665846214,0.0202,-0.26193283845282195,1.6946486305533763,911.6459,9.666,13573.062,Cluster_911.6459_9.666,911.6459_9.666;911.646_9.667,2
917.633_10.292,7141.313927528064,8274.009792792334,0.8631019428752688,0.0419,-0.21239712552399578,1.3777859770337046,917.633,10.292,6922.48,917.633_10.292,917.633_10.292,1
923.646_9.035,30923.93456827214,36661.608837301814,0.8434963862471904,0.0115,-0.24554620723335419,1.9393021596463884,923.646,9.035,32517.857,923.646_9.035,923.646_9.035,1
945.6385_9.975,5065.814770803334,5873.24454420168,0.8625240670090137,0.015,-0.21336338202787888,1.8239087409443189,945.6385,9.975,5593.762,945.6385_9.975,945.6385_9.975,1
985.616_9.034,9123.185607014222,10500.179360567596,0.8688599778852788,0.036,-0.20280439827019595,1.4436974992327127,985.616,9.034,8857.682,985.616_9.034,985.616_9.034,1
